dt, Acceleration, Pressure, Their Altitude, Our Altitude
0.000000,2.650000,86595.000000, 1305.38,1306.085052
0.000000,2.650000,86595.000000, 1305.38,1306.835698
0.010000,2.650000,86611.000000, 1303.87,1307.457928
0.010000,2.650000,86602.000000, 1304.72,1308.015354
0.010000,2.650000,86598.000000, 1305.10,1308.586821
0.010000,2.650000,86601.000000, 1304.81,1309.026131
0.010000,2.650000,86602.000000, 1304.72,1309.417872
0.010000,2.120000,86600.000000, 1304.91,1309.710761
0.010000,2.120000,86611.000000, 1303.87,1309.899679
0.010000,2.120000,86589.000000, 1305.95,1310.258275
0.010000,2.650000,86599.000000, 1305.00,1310.541078
0.010000,2.650000,86614.000000, 1303.59,1310.595501
0.010000,2.650000,86606.000000, 1304.34,1310.750548
0.010000,2.650000,86586.000000, 1306.23,1311.065164
0.010000,2.650000,86593.000000, 1305.57,1311.278848
0.010000,2.650000,86608.000000, 1304.15,1311.310752
0.010000,2.650000,86595.000000, 1305.38,1311.472525
0.010000,2.650000,86582.000000, 1306.61,1311.737608
0.010000,2.650000,86603.000000, 1304.63,1311.760782
0.010000,2.120000,86608.000000, 1304.15,1311.676043
0.010000,2.650000,86605.000000, 1304.44,1311.723575
0.010000,2.650000,86624.000000, 1302.64,1311.516241
0.010000,2.650000,86603.000000, 1304.63,1311.582929
0.010000,2.650000,86600.000000, 1304.91,1311.642172
0.010000,2.650000,86607.000000, 1304.25,1311.640678
0.010000,3.180000,86610.000000, 1303.96,1311.655646
0.010000,2.650000,86601.000000, 1304.81,1311.670838
0.010000,19.610000,86621.000000, 1302.92,1313.353289
0.010000,48.240000,86662.000000, 1299.05,1316.279399
0.010000,59.370000,86671.000000, 1298.20,1318.692560
0.010000,64.140000,86677.000000, 1297.63,1321.187609
0.010000,56.190000,86695.000000, 1295.93,1321.951087
0.000000,56.190000,86695.000000, 1295.93,1323.202784
0.010000,72.090000,86698.000000, 1295.65,1325.572552
0.010000,76.330000,86717.000000, 1293.86,1327.032471
0.000000,76.330000,86717.000000, 1293.86,1328.299850
0.010000,82.160000,86723.000000, 1293.29,1329.945571
0.010000,83.220000,86717.000000, 1293.86,1331.141834
0.010000,84.810000,86674.000000, 1297.92,1332.842677
0.010000,86.930000,86665.000000, 1298.77,1334.364841
0.010000,86.930000,86638.000000, 1301.32,1335.863696
