dt, Acceleration, Pressure, Their Altitude, Our Altitude, DES
0.000000,10.160000,86770.000000,1289.26,1291.602960,0
0.008500,10.160000,86767.000000,1287.47,1292.934893,0
0.008400,10.160000,86788.000000,1287.00,1294.010293,0
0.017700,10.240000,86757.000000,1289.83,1295.171938,0
0.008400,10.200000,86770.000000,1286.72,1295.958910,0
0.008500,10.160000,86792.000000,1287.19,1296.007164,0
0.017300,10.200000,86760.000000,1289.26,1296.768166,0
0.008700,10.200000,86783.000000,1286.53,1296.805915,0
0.008500,10.120000,86784.000000,1287.66,1296.835482,0
0.017300,10.200000,86760.000000,1289.83,1297.337331,0
0.008500,10.160000,86770.000000,1286.72,1297.482268,0
0.008800,10.200000,86790.000000,1287.00,1297.195296,0
0.017300,10.200000,86762.000000,1289.55,1297.545458,0
0.008500,10.080000,86774.000000,1286.72,1297.511938,0
0.008400,10.120000,86796.000000,1286.81,1297.056581,0
0.017600,10.200000,86768.000000,1289.45,1297.286167,0
0.008500,10.160000,86778.000000,1287.00,1297.200315,0
0.008500,10.080000,86794.000000,1286.53,1296.807043,0
0.017300,10.280000,86761.000000,1290.30,1297.211359,0
0.008800,10.160000,86778.000000,1287.38,1297.097049,0
0.008400,10.120000,86789.000000,1287.38,1296.801440,0
0.017400,10.240000,86764.000000,1289.74,1297.105169,0
0.008400,10.200000,86770.000000,1286.90,1297.150577,0
0.008700,10.120000,86788.000000,1287.38,1296.822635,0
0.017400,10.240000,86760.000000,1290.49,1297.178965,0
0.008500,10.080000,86765.000000,1287.28,1297.259400,0
0.008400,10.120000,86787.000000,1287.09,1296.906026,0
0.017600,10.200000,86754.000000,1290.21,1297.327763,0
0.008500,10.120000,86772.000000,1287.85,1297.217710,0
0.008500,10.160000,86789.000000,1286.34,1296.805146,0
0.017300,10.200000,86763.000000,1290.11,1297.044658,0
0.008500,10.200000,86774.000000,1287.75,1296.940041,0
0.008700,10.120000,86787.000000,1287.47,1296.593115,0
0.017400,10.200000,86762.000000,1289.93,1296.883183,0
0.008500,10.200000,86767.000000,1287.66,1296.923976,0
0.008400,10.160000,86794.000000,1286.81,1296.420495,0
0.017600,10.200000,86760.000000,1290.30,1296.765956,0
0.008500,10.160000,86774.000000,1287.47,1296.666321,0
0.008500,10.120000,86785.000000,1287.00,1296.375482,0
0.017300,10.240000,86766.000000,1289.64,1296.592911,0
0.008700,10.160000,86786.000000,1287.38,1296.270853,0
0.008500,10.160000,86787.000000,1287.00,1296.012938,0
0.017300,10.200000,86762.000000,1289.93,1296.362130,0
0.008500,10.120000,86776.000000,1286.43,1296.268291,0
0.008700,10.200000,86791.000000,1287.28,1295.915308,0
0.017400,10.200000,86766.000000,1289.74,1296.188580,0
0.008500,10.160000,86776.000000,1287.19,1296.119210,0
